,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
ɐ̆,0.0014727540500736377,0,0,1,0,1,0,1,0,0,0,0,-1,0,1,1,1,0,0
ɐ̃,0.0029455081001472753,0,0,1,0,1,0,1,0,0,1,0,-1,0,1,1,0,0,0
ɐ̟,0.0003681885125184094,0,0,1,0,1,0,1,-1,0,0,0,-1,0,1,1,0,0,0
ɐ̹̆,0.0007363770250368188,0,0,1,0,1,0,1,0,0,0,0,-1,0,1,1,1,0,0
ɐː,0.004418262150220913,0,0,1,0,1,1,1,0,0,0,0,-1,0,1,1,0,0,0
ɑ,0.07547864506627393,0,1,1,0,1,0,0,0,0,0,1,-1,0,-1,1,0,0,0
ɑ̆,0.0003681885125184094,0,0,1,0,1,0,0,0,0,0,1,-1,0,-1,1,1,0,0
ɑ̈,0.0003681885125184094,0,0,1,0,1,0,0,0,0,0,-1,-1,0,-1,1,0,0,0
ɑ̃,0.017304860088365244,0,0,1,0,1,0,0,0,0,1,1,-1,0,-1,1,0,0,0
ɑ̝,0.0003681885125184094,0,0,1,0,1,0,0,0,0,0,1,-1,0,-1,-1,0,0,0
ɑ̙,0.0003681885125184094,0,0,1,0,1,0,0,0,0,0,1,-1,0,-1,1,0,1,0
ɑ̟̝,0.0003681885125184094,0,0,1,0,1,0,0,0,0,0,-1,-1,0,-1,-1,0,0,0
ɑ̝̹,0.0003681885125184094,0,0,1,0,1,0,0,0,0,0,1,-1,0,-1,-1,0,0,0
ɑ̤,0.002577319587628866,0,0,1,0,1,0,0,0,1,0,1,-1,0,-1,1,0,0,0
ɑː,0.03424153166421208,0,1,1,0,1,1,0,0,0,0,1,-1,0,-1,1,0,0,0
ɑ̈ː,0.0003681885125184094,0,0,1,0,1,1,0,0,0,0,-1,-1,0,-1,1,0,0,0
ɑ̃ː,0.005154639175257732,0,0,1,0,1,1,0,0,0,1,1,-1,0,-1,1,0,0,0
ɑ̟ː,0.0003681885125184094,0,0,1,0,1,1,0,0,0,0,-1,-1,0,-1,1,0,0,0
ɑ̝ː,0.0003681885125184094,0,0,1,0,1,1,0,0,0,0,1,-1,0,-1,-1,0,0,0
ɑ̤ː,0.0003681885125184094,0,0,1,0,1,1,0,0,1,0,1,-1,0,-1,1,0,0,0
ɑ̰ː,0.0003681885125184094,0,0,1,0,1,1,0,0,0,0,1,-1,1,-1,1,0,0,0
ɑˑ,0.0003681885125184094,0,0,1,0,1,1,0,0,0,0,1,-1,0,-1,1,1,0,0
ɑ̟ˑ,0.0003681885125184094,0,0,1,0,1,1,0,0,0,0,-1,-1,0,-1,1,1,0,0
ɒ,0.02025036818851252,0,1,1,0,1,0,1,0,0,0,1,-1,0,1,1,0,0,0
ɒ̆,0.0007363770250368188,0,0,1,0,1,0,1,0,0,0,1,-1,0,1,1,1,0,0
ɒ̃,0.0029455081001472753,0,0,1,0,1,0,1,0,0,1,1,-1,0,1,1,0,0,0
ɒ̝,0.0003681885125184094,0,0,1,0,1,0,1,0,0,0,1,-1,0,1,-1,0,0,0
ɒ̤,0.0007363770250368188,0,0,1,0,1,0,1,0,1,0,1,-1,0,1,1,0,0,0
ɒː,0.006995581737849779,0,0,1,0,1,1,1,0,0,0,1,-1,0,1,1,0,0,0
ɒ̃ː,0.0011045655375552283,0,0,1,0,1,1,1,0,0,1,1,-1,0,1,1,0,0,0
e,0.6237113402061856,1,0,1,0,1,0,0,1,0,0,0,1,0,-1,0,0,0,0
ĕ,0.0014727540500736377,0,0,1,0,1,0,0,1,0,0,0,1,0,-1,0,1,0,0
ë,0.0014727540500736377,0,0,1,0,1,0,0,-1,0,0,0,-1,0,-1,0,0,0,0
ẽ,0.11524300441826216,0,0,1,0,1,0,0,1,0,1,0,1,0,-1,0,0,0,0
e̞,0.0003681885125184094,0,0,1,0,1,0,0,1,0,0,0,-1,0,-1,0,0,0,0
e̯,0.0003681885125184094,0,0,1,0,0,0,0,1,0,0,0,1,0,-1,0,0,0,0
e̝,0.0003681885125184094,0,0,1,-1,1,0,0,1,0,0,0,1,0,-1,0,0,0,0
e̘,0.0003681885125184094,0,0,1,0,1,0,0,1,0,0,0,1,0,-1,0,0,0,1
e̙,0.0003681885125184094,0,0,1,0,1,0,0,1,0,0,0,1,0,-1,0,0,1,0
ĕ̞,0.0007363770250368188,0,0,1,0,1,0,0,1,0,0,0,-1,0,-1,0,1,0,0
ë̞,0.0007363770250368188,0,0,1,0,1,0,0,-1,0,0,0,-1,0,-1,0,0,0,0
ẽ̞,0.0195139911634757,0,0,1,0,1,0,0,1,0,1,0,-1,0,-1,0,0,0,0
e̞̥,0.0003681885125184094,0,0,0,0,1,0,0,1,0,0,0,-1,0,-1,0,0,0,0
e̞̰,0.0007363770250368188,0,0,1,0,1,0,0,1,0,0,0,-1,1,-1,0,0,0,0
ẽ̞̰,0.0003681885125184094,0,0,1,0,1,0,0,1,0,1,0,-1,1,-1,0,0,0,0
e̤,0.008836524300441826,0,0,1,0,1,0,0,1,1,0,0,1,0,-1,0,0,0,0
e̥,0.0003681885125184094,0,0,0,0,1,0,0,1,0,0,0,1,0,-1,0,0,0,0
ḛ,0.007731958762886598,0,0,1,0,1,0,0,1,0,0,0,1,1,-1,0,0,0,0
ḛ̃,0.0011045655375552283,0,0,1,0,1,0,0,1,0,1,0,1,1,-1,0,0,0,0
eː,0.21539027982326953,0,1,1,0,1,1,0,1,0,0,0,1,0,-1,0,0,0,0
ëː,0.0003681885125184094,0,0,1,0,1,1,0,-1,0,0,0,-1,0,-1,0,0,0,0
ẽː,0.017673048600883652,0,0,1,0,1,1,0,1,0,1,0,1,0,-1,0,0,0,0
e̞ː,0.0003681885125184094,0,0,1,0,1,1,0,1,0,0,0,-1,0,-1,0,0,0,0
e̘ː,0.0003681885125184094,0,0,1,0,1,1,0,1,0,0,0,1,0,-1,0,0,0,1
ẽ̞ː,0.0014727540500736377,0,0,1,0,1,1,0,1,0,1,0,-1,0,-1,0,0,0,0
e̤ː,0.002577319587628866,0,0,1,0,1,1,0,1,1,0,0,1,0,-1,0,0,0,0
e̥ː,0.0003681885125184094,0,0,0,0,1,1,0,1,0,0,0,1,0,-1,0,0,0,0
ḛː,0.0003681885125184094,0,0,1,0,1,1,0,1,0,0,0,1,1,-1,0,0,0,0
eˑ,0.0029455081001472753,0,0,1,0,1,1,0,1,0,0,0,1,0,-1,0,1,0,0
e̤ˑ,0.0011045655375552283,0,0,1,0,1,1,0,1,1,0,0,1,0,-1,0,1,0,0
ḛˑ,0.0003681885125184094,0,0,1,0,1,1,0,1,0,0,0,1,1,-1,0,1,0,0
eʱ,0.0003681885125184094,0,0,1,0,1,0,0,1,1,0,0,1,0,-1,0,0,0,0
eˀ,0.0003681885125184094,0,0,1,0,1,0,0,1,0,0,0,1,1,-1,0,0,0,0
ə,0.22827687776141384,0,1,1,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0
ə̆,0.005522827687776142,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,0,1,0,0
ə̃,0.030927835051546393,0,0,1,0,1,0,0,0,0,1,0,0,0,-1,0,0,0,0
ə̟,0.0003681885125184094,0,0,1,0,1,0,0,-1,0,0,0,0,0,-1,0,0,0,0
ə̯,0.0003681885125184094,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
ə̞̆,0.0003681885125184094,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,-1,1,0,0
ə̟̆,0.0003681885125184094,0,0,1,0,1,0,0,-1,0,0,0,0,0,-1,0,1,0,0
ə̤,0.0014727540500736377,0,0,1,0,1,0,0,0,1,0,0,0,0,-1,0,0,0,0
ə̥,0.0003681885125184094,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0
ə̰,0.0014727540500736377,0,0,1,0,1,0,0,0,0,0,0,0,1,-1,0,0,0,0
ə̰̃,0.0007363770250368188,0,0,1,0,1,0,0,0,0,1,0,0,1,-1,0,0,0,0
ə̹,0.0003681885125184094,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0
əː,0.04160530191458026,0,0,1,0,1,1,0,0,0,0,0,0,0,-1,0,0,0,0
ə̃ː,0.007363770250368188,0,0,1,0,1,1,0,0,0,1,0,0,0,-1,0,0,0,0
ə̘ː,0.0003681885125184094,0,0,1,0,1,1,0,0,0,0,0,0,0,-1,0,0,0,1
ə̤̃ː,0.0003681885125184094,0,0,1,0,1,1,0,0,1,1,0,0,0,-1,0,0,0,0
əˑ,0.0003681885125184094,0,0,1,0,1,1,0,0,0,0,0,0,0,-1,0,1,0,0
ɛ,0.3751840942562592,0,1,1,0,1,0,0,1,0,0,0,0,0,-1,0,0,0,0
ɛ̆,0.0011045655375552283,0,0,1,0,1,0,0,1,0,0,0,0,0,-1,0,1,0,0
ɛ̆̃,0.0003681885125184094,0,0,1,0,1,0,0,1,0,1,0,0,0,-1,0,1,0,0
ɛ̃,0.08394698085419734,0,0,1,0,1,0,0,1,0,1,0,0,0,-1,0,0,0,0
ɛ̯,0.0003681885125184094,0,0,1,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0
ɛ̙,0.0003681885125184094,0,0,1,0,1,0,0,1,0,0,0,0,0,-1,0,0,1,0
ɛ̝,0.0003681885125184094,0,0,1,0,1,0,0,1,0,0,0,-1,0,-1,0,0,0,0
ɛ̞,0.0003681885125184094,0,0,1,0,1,0,0,1,0,0,0,0,0,-1,-1,0,0,0
ɛ̤,0.005891016200294551,0,0,1,0,1,0,0,1,1,0,0,0,0,-1,0,0,0,0
ɛ̰,0.0029455081001472753,0,0,1,0,1,0,0,1,0,0,0,0,1,-1,0,0,0,0
ɛ̰̃,0.0003681885125184094,0,0,1,0,1,0,0,1,0,1,0,0,1,-1,0,0,0,0
ɛː,0.10898379970544919,0,0,1,0,1,1,0,1,0,0,0,0,0,-1,0,0,0,0
ɛ̃ː,0.017304860088365244,0,0,1,0,1,1,0,1,0,1,0,0,0,-1,0,0,0,0
ɛ̘ː,0.0003681885125184094,0,0,1,0,1,1,0,1,0,0,0,0,0,-1,0,0,0,1
ɛ̙ː,0.0003681885125184094,0,0,1,0,1,1,0,1,0,0,0,0,0,-1,0,0,1,0
ɛ̝ː,0.0003681885125184094,0,0,1,0,1,1,0,1,0,0,0,-1,0,-1,0,0,0,0
ɛ̤ː,0.002577319587628866,0,0,1,0,1,1,0,1,1,0,0,0,0,-1,0,0,0,0
ɛ̤̃ː,0.0003681885125184094,0,0,1,0,1,1,0,1,1,1,0,0,0,-1,0,0,0,0
ɛ̰ː,0.0007363770250368188,0,0,1,0,1,1,0,1,0,0,0,0,1,-1,0,0,0,0
ɛˑ,0.0011045655375552283,0,0,1,0,1,1,0,1,0,0,0,0,0,-1,0,1,0,0
ɛ̤ˑ,0.0011045655375552283,0,0,1,0,1,1,0,1,1,0,0,0,0,-1,0,1,0,0
ɛ̰ˑ,0.0003681885125184094,0,0,1,0,1,1,0,1,0,0,0,0,1,-1,0,1,0,0
ɘ,0.015832106038291605,0,0,1,0,1,0,0,0,0,0,0,1,0,-1,0,0,0,0
ɘ̆,0.0003681885125184094,0,0,1,0,1,0,0,0,0,0,0,1,0,-1,0,1,0,0
ɘ̃,0.0011045655375552283,0,0,1,0,1,0,0,0,0,1,0,1,0,-1,0,0,0,0
ɘ̟,0.0003681885125184094,0,0,1,0,1,0,0,-1,0,0,0,1,0,-1,0,0,0,0
ɘː,0.0029455081001472753,0,0,1,0,1,1,0,0,0,0,0,1,0,-1,0,0,0,0
ɘ̃ː,0.0003681885125184094,0,0,1,0,1,1,0,0,0,1,0,1,0,-1,0,0,0,0
ɜ,0.01288659793814433,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0
ɜ̃,0.001840942562592047,0,0,1,0,1,0,0,0,0,1,0,0,0,-1,0,0,0,0
ɜ̹,0.0003681885125184094,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0
ɜː,0.001840942562592047,0,0,1,0,1,1,0,0,0,0,0,0,0,-1,0,0,0,0
ɜ̹ː,0.0003681885125184094,0,0,1,0,1,1,0,0,0,0,0,0,0,-1,0,0,0,0
ɞ,0.001840942562592047,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
ɞ̜,0.0003681885125184094,0,0,1,0,1,0,1,0,0,0,0,0,0,-1,0,0,0,0
ɞ̜̰,0.0003681885125184094,0,0,1,0,1,0,1,0,0,0,0,0,1,-1,0,0,0,0
ɞ̰,0.0003681885125184094,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0
ɞː,0.0003681885125184094,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
ɞ̜ː,0.0003681885125184094,0,0,1,0,1,1,1,0,0,0,0,0,0,-1,0,0,0,0
ɞ̜̃ː,0.0003681885125184094,0,0,1,0,1,1,1,0,0,1,0,0,0,-1,0,0,0,0
ɤ,0.024300441826215022,0,0,1,0,1,0,0,0,0,0,1,1,0,-1,0,0,0,0
ɤ̃,0.002577319587628866,0,0,1,0,1,0,0,0,0,1,1,1,0,-1,0,0,0,0
ɤ̞,0.0003681885125184094,0,0,1,0,1,0,0,0,0,0,1,-1,0,-1,0,0,0,0
ɤ̯,0.0003681885125184094,0,0,1,0,0,0,0,0,0,0,1,1,0,-1,0,0,0,0
ɤ̟,0.0003681885125184094,0,0,1,0,1,0,0,0,0,0,-1,1,0,-1,0,0,0,0
ɤ̝,0.0003681885125184094,0,0,1,-1,1,0,0,0,0,0,1,1,0,-1,0,0,0,0
ɤ̞̆,0.0003681885125184094,0,0,1,0,1,0,0,0,0,0,1,-1,0,-1,0,1,0,0
ɤ̞̃,0.0014727540500736377,0,0,1,0,1,0,0,0,0,1,1,-1,0,-1,0,0,0,0
ɤ̟̞̃,0.0003681885125184094,0,0,1,0,1,0,0,0,0,1,-1,-1,0,-1,0,0,0,0
ɤ̟̹,0.0003681885125184094,0,0,1,0,1,0,0,0,0,0,-1,1,0,-1,0,0,0,0
ɤ̤,0.0014727540500736377,0,0,1,0,1,0,0,0,1,0,1,1,0,-1,0,0,0,0
ɤː,0.005891016200294551,0,0,1,0,1,1,0,0,0,0,1,1,0,-1,0,0,0,0
ɤ̃ː,0.0003681885125184094,0,0,1,0,1,1,0,0,0,1,1,1,0,-1,0,0,0,0
ɤ̞ː,0.0007363770250368188,0,0,1,0,1,1,0,0,0,0,1,-1,0,-1,0,0,0,0
ɤ̤ː,0.0003681885125184094,0,0,1,0,1,1,0,0,1,0,1,1,0,-1,0,0,0,0
ɤˑ,0.0003681885125184094,0,0,1,0,1,1,0,0,0,0,1,1,0,-1,0,1,0,0
i,0.9329896907216495,1,0,1,1,1,0,0,1,0,0,0,1,0,-1,0,0,0,0
ĭ,0.002577319587628866,0,0,1,1,1,0,0,1,0,0,0,1,0,-1,0,1,0,0
ï,0.0011045655375552283,0,0,1,1,1,0,0,-1,0,0,0,-1,0,-1,0,0,0,0
ĩ,0.18814432989690721,0,0,1,1,1,0,0,1,0,1,0,1,0,-1,0,0,0,0
i̽,0.0003681885125184094,0,0,1,-1,1,0,0,-1,0,0,0,-1,0,-1,0,0,0,0
i̘,0.0007363770250368188,0,0,1,1,1,0,0,1,0,0,0,1,0,-1,0,0,0,1
i̙,0.0007363770250368188,0,0,1,1,1,0,0,1,0,0,0,1,0,-1,0,0,1,0
i̞,0.0007363770250368188,0,0,1,1,1,0,0,1,0,0,0,-1,0,-1,0,0,0,0
i̜,0.0007363770250368188,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
i̯,0.0007363770250368188,0,0,1,1,0,0,0,1,0,0,0,1,0,-1,0,0,0,0
ĩ̯,0.0007363770250368188,0,0,1,1,0,0,0,1,0,1,0,1,0,-1,0,0,0,0
ĩ̞,0.0007363770250368188,0,0,1,1,1,0,0,1,0,1,0,-1,0,-1,0,0,0,0
i̤,0.008836524300441826,0,0,1,1,1,0,0,1,1,0,0,1,0,-1,0,0,0,0
i̥,0.001840942562592047,0,0,0,1,1,0,0,1,0,0,0,1,0,-1,0,0,0,0
ḭ,0.008468335787923416,0,0,1,1,1,0,0,1,0,0,0,1,1,-1,0,0,0,0
ḭ̃,0.002577319587628866,0,0,1,1,1,0,0,1,0,1,0,1,1,-1,0,0,0,0
iː,0.32069219440353464,0,1,1,1,1,1,0,1,0,0,0,1,0,-1,0,0,0,0
ĩː,0.035346097201767304,0,0,1,1,1,1,0,1,0,1,0,1,0,-1,0,0,0,0
i̙ː,0.0003681885125184094,0,0,1,1,1,1,0,1,0,0,0,1,0,-1,0,0,1,0
i̞ː,0.0003681885125184094,0,0,1,1,1,1,0,1,0,0,0,-1,0,-1,0,0,0,0
i̩ː,0.0003681885125184094,0,0,1,1,1,1,0,1,0,0,0,1,0,-1,0,0,0,0
i̤ː,0.0029455081001472753,0,0,1,1,1,1,0,1,1,0,0,1,0,-1,0,0,0,0
ĩ̤ː,0.0003681885125184094,0,0,1,1,1,1,0,1,1,1,0,1,0,-1,0,0,0,0
ḭː,0.0007363770250368188,0,0,1,1,1,1,0,1,0,0,0,1,1,-1,0,0,0,0
iˑ,0.0033136966126656848,0,0,1,1,1,1,0,1,0,0,0,1,0,-1,0,1,0,0
i̤ˑ,0.0011045655375552283,0,0,1,1,1,1,0,1,1,0,0,1,0,-1,0,1,0,0
ḭˑ,0.0003681885125184094,0,0,1,1,1,1,0,1,0,0,0,1,1,-1,0,1,0,0
iʱ,0.0003681885125184094,0,0,1,1,1,0,0,1,1,0,0,1,0,-1,0,0,0,0
ii,0.0007363770250368188,0,0,1,1,1,0,0,1,0,0,0,1,0,-1,0,0,0,0
iˀ,0.0003681885125184094,0,0,1,1,1,0,0,1,0,0,0,1,1,-1,0,0,0,0
ɪ,0.14948453608247422,0,1,1,1,1,0,0,1,0,0,0,0,0,-1,0,0,0,0
ɪ̆,0.0011045655375552283,0,0,1,1,1,0,0,1,0,0,0,0,0,-1,0,1,0,0
ɪ̈,0.0029455081001472753,0,0,1,1,1,0,0,-1,0,0,0,0,0,-1,0,0,0,0
ɪ̃,0.03460972017673049,0,0,1,1,1,0,0,1,0,1,0,0,0,-1,0,0,0,0
ɪ̯,0.0007363770250368188,0,0,1,1,0,0,0,1,0,0,0,0,0,-1,0,0,0,0
ɪ̙,0.0007363770250368188,0,0,1,1,1,0,0,1,0,0,0,0,0,-1,0,0,1,0
ɪ̝,0.0007363770250368188,0,0,1,1,1,0,0,1,0,0,0,-1,0,-1,0,0,0,0
ɪ̞,0.0007363770250368188,0,0,1,-1,1,0,0,1,0,0,0,0,0,-1,0,0,0,0
ɪ̞̈,0.0003681885125184094,0,0,1,-1,1,0,0,-1,0,0,0,0,0,-1,0,0,0,0
ɪ̤,0.0007363770250368188,0,0,1,1,1,0,0,1,1,0,0,0,0,-1,0,0,0,0
ɪ̰,0.0007363770250368188,0,0,1,1,1,0,0,1,0,0,0,0,1,-1,0,0,0,0
ɪː,0.0312960235640648,0,0,1,1,1,1,0,1,0,0,0,0,0,-1,0,0,0,0
ɪ̈ː,0.0007363770250368188,0,0,1,1,1,1,0,-1,0,0,0,0,0,-1,0,0,0,0
ɪ̃ː,0.002577319587628866,0,0,1,1,1,1,0,1,0,1,0,0,0,-1,0,0,0,0
ɪ̙ː,0.0003681885125184094,0,0,1,1,1,1,0,1,0,0,0,0,0,-1,0,0,1,0
ɪ̝ː,0.0003681885125184094,0,0,1,1,1,1,0,1,0,0,0,-1,0,-1,0,0,0,0
ɨ,0.1723122238586156,1,0,1,1,1,0,0,0,0,0,0,1,0,-1,0,0,0,0
ɨ̆,0.0014727540500736377,0,0,1,1,1,0,0,0,0,0,0,1,0,-1,0,1,0,0
ɨ̃,0.04602356406480118,0,0,1,1,1,0,0,0,0,1,0,1,0,-1,0,0,0,0
ɨ̞,0.0003681885125184094,0,0,1,1,1,0,0,0,0,0,0,-1,0,-1,0,0,0,0
ɨ̜,0.0003681885125184094,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
ɨ̘,0.0003681885125184094,0,0,1,1,1,0,0,0,0,0,0,1,0,-1,0,0,0,1
ɨ̞̃,0.0003681885125184094,0,0,1,1,1,0,0,0,0,1,0,-1,0,-1,0,0,0,0
ɨ̞̰,0.0003681885125184094,0,0,1,1,1,0,0,0,0,0,0,-1,1,-1,0,0,0,0
ɨ̤,0.0003681885125184094,0,0,1,1,1,0,0,0,1,0,0,1,0,-1,0,0,0,0
ɨ̥,0.0003681885125184094,0,0,0,1,1,0,0,0,0,0,0,1,0,-1,0,0,0,0
ɨ̰,0.0003681885125184094,0,0,1,1,1,0,0,0,0,0,0,1,1,-1,0,0,0,0
ɨ̹,0.0007363770250368188,0,0,1,1,1,0,0,0,0,0,0,1,0,-1,0,0,0,0
ɨː,0.03055964653902798,0,0,1,1,1,1,0,0,0,0,0,1,0,-1,0,0,0,0
ɨ̃ː,0.0029455081001472753,0,0,1,1,1,1,0,0,0,1,0,1,0,-1,0,0,0,0
ɨ̞ː,0.0003681885125184094,0,0,1,1,1,1,0,0,0,0,0,-1,0,-1,0,0,0,0
ɨ̞̃ː,0.0003681885125184094,0,0,1,1,1,1,0,0,0,1,0,-1,0,-1,0,0,0,0
ɨ̹ː,0.0003681885125184094,0,0,1,1,1,1,0,0,0,0,0,1,0,-1,0,0,0,0
ɨˑ,0.0003681885125184094,0,0,1,1,1,1,0,0,0,0,0,1,0,-1,0,1,0,0
o,0.6104565537555229,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0
ŏ,0.0007363770250368188,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0
ŏ̃,0.0003681885125184094,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0
ö,0.0011045655375552283,0,0,1,0,1,0,1,0,0,0,-1,-1,0,1,0,0,0,0
õ,0.12334315169366716,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0
ø,0.03166421207658321,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0
ø̆,0.0003681885125184094,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0
ø̃,0.0007363770250368188,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0
ø̞,0.005891016200294551,0,0,1,0,1,0,1,1,0,0,0,-1,0,1,0,0,0,0
ø̞̜,0.0003681885125184094,0,0,1,0,1,0,1,1,0,0,0,-1,0,-1,0,0,0,0
ø̤,0.0007363770250368188,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0
